LONCOD,LATCOD,CDCODE,year,school,city,state,address,urbanrural,race,killed,injured,victims,date,type,NCESSCH,time
-75.5849,39.6681,1000,2009,William Penn High School,New Castle,Delaware,713 E Basin Rd,suburbtown,BLACK,0,1,1,8-Jan-09,High School,100023000209,8:30PM
-87.6175,41.8399,1701,2009,Dunbar Vocational Career Academy,Chicago,Illinois,3000 S King Dr,urban,BLACK,0,5,5,9-Jan-09,High School,170993000588,8:00PM
-90.1651,38.5657,1712,2009,Cahokia High School,Cahokia,Illinois,800 Range Ln,suburbtown,BLACK,1,0,1,23-Jan-09,High School,170804000409,7:20PM
-78.3118,35.8315,3713,2009,Zebulon Middle School,Zebulon,North Carolina,Halifax Road and New Oak Street,suburbtown,BLACK,0,1,1,11-Feb-09,Middle School,370472001913,6:00AM
-83.1139767,42.383593,,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,17-Feb-09,High School,260110304670,2:20PM
-78.9917,35.0843,3702,2009,Westover High School,Fayetteville,North Carolina,277 Bonanza Dr,urban,BLACK,0,1,1,6-Mar-09,High School,370001100445,10:00PM
-77.413,37.5302,5103,2009,Chimborazo Elementary School,Richmond,Virginia,3000 East Marshall Street,urban,BLACK,1,0,1,13-May-09,Elementary School,510324001359,7:40PM
-84.5348,38.0705,2106,2009,Leestown Middle School,Lexington,Kentucky,2010 Leestown Rd,urban,BLACK,1,0,1,9-Jun-09,Middle School,210186000369,8:02AM
-92.8847,42.5803,1901,2009,Aplington-Parkersburg High School,Parkersburg,Iowa,610 N Johnson St,rural,WHITE,1,0,1,24-Jun-09,High School,190375001337,8:00AM
-72.529205,40.996241,3601,2009,Mattituck High School,Mattituck,New York,15125 Main Rd,suburbtown,WHITE,0,1,1,8-Oct-09,High School,360002101704,1:50PM
-118.141537,33.778933,637,2009,Wilson High School,Long Beach,California,4400 E 10th St,urban,HISP,1,2,3,30-Oct-09,High School,62250002769,10:00PM
-71.0436,42.0672,2509,2009,Brockton High School,Brockton,Massachusetts,470 Forest Ave,suburbtown,BLACK,0,1,1,2-Dec-09,High School,250309000385,4:48PM
-93.77398,32.503605,2204,2009,Booker T. Washington High School,Shreveport,Louisiana,2104 Milam St,urban,BLACK,0,1,1,11-Dec-09,High School,220030000208,8:20AM
-88.1881261,32.5866695,,2010,Livingston High School,Livingston,Alabama,108 North Street,rural,BLACK,1,0,1,20-Jan-10,High School,,3:00PM
-86.741148,34.740322,105,2010,Discovery Middle School,Madison,Alabama,1304 Hughes Rd,suburbtown,WHITE,1,0,1,5-Feb-10,Middle School,10000800495,1:45PM
-83.959204,36.011183,4702,2010,Inskip Elementary School,Knoxville,Tennessee,4701 High School Rd,urban,WHITE,0,2,2,10-Feb-10,Elementary School,470222000788,1:00PM
-105.102,39.5869,806,2010,Deer Creek Middle School,Littleton,Colorado,9201 W Columbine Dr,suburbtown,WHITE,0,2,2,23-Feb-10,Elementary School,80480001315,3:00PM
-122.451219,47.187336,5306,2010,Birney Elementary School,Tacoma,Washington,1202 S 76th Street,urban,WHITE,1,0,1,26-Feb-10,Elementary School,530870001455,7:30AM
-118.209757,33.954604,639,2010,South Gate High School,South Gate,California,3351 Firestone Blvd,suburbtown,HISP,0,1,1,18-May-10,High School,62271003364,7:50AM
-121.595961,36.686184,617,2010,Alisal High School,Salinas,California,777 Williams Rd,urban,HISP,1,0,1,1-Oct-10,High School,63398005332,8:00AM
